name,rating,description,website_url,formatted_address,latitude,longitude,price_level
Howard Bennett Playground,4.1,,http://www.nycgovparks.org/parks/howard-bennett-playground,"32 W 136th St, New York, NY 10037, USA",40.8135525,-73.93861559999999,
Basil Behagen Playground,4.2,,https://www.nycgovparks.org/parks/behagen-playground/,"1054 Tinton Ave, Bronx, NY 10456, USA",40.8253722,-73.9012602,
Roberto Clemente Plaza,3.9,,https://www.instagram.com/robertoclementeplazabx?igsh=NzV0YzRiN3R5bHY1,"530 Willis Ave, Bronx, NY 10455, USA",40.8155072,-73.918212,
Padre Plaza,4.4,,,"541 E 139th St, Bronx, NY 10454, USA",40.8078809,-73.91751959999999,
Yolanda García Park,4.5,,https://www.nycgovparks.org/parks/yolanda-garcia-park,"Melrose Avenue &, 409 E 159th St, Bronx, NY 10451, USA",40.8231456,-73.9139034,
Bankside Park,4.6,,,"2276 Third Ave, Bronx, NY 10454, USA",40.8077144,-73.931444,
Bankside Park,4.3,,,"2391 Third Ave, Manhattan, NY 10035, USA",40.8081912,-73.9318583,
Abraham Lincoln Playground,4.0,,http://www.nycgovparks.org/parks/abraham-lincoln-playground,"5th Ave &, 24 E 135th St, New York, NY 10037, USA",40.8122971,-73.93721459999999,
The Staten Island September 11th Memorial,4.6,This waterfront memorial dedicated to Staten Islanders lost on 9/11 frames where the towers stood.,,"Bank St, Staten Island, NY 10301, USA",40.6468129,-74.07651,
Stapleton Waterfront Park,4.4,,https://www.nycgovparks.org/parks/stapleton-esplanade,"Water St, Staten Island, NY 10304, USA",40.628971500000006,-74.0729446,
Cottages Hill New Brighton Park,4.4,,https://www.nycgovparks.org/parks/cottages-hill-new-brighton-park,"171 Harvard Ave, Staten Island, NY 10301, USA",40.6390892,-74.0897212,
North Shore Waterfront Esplanade Park,4.5,,https://www.nycgovparks.org/parks/north-shore-esplanade,"Bank St, Staten Island, NY 10301, USA",40.6480401,-74.081599,
Tappen Park,3.8,,https://www.nycgovparks.org/parks/tappen-park/,"Bay St, Staten Island, NY 10304, USA",40.6267868,-74.07672819999999,
St george ferry,5.0,,,"1 Bay St, Staten Island, NY 10301, USA",40.642041,-74.0745022,
Mahoney Playground,3.9,,https://www.nycgovparks.org/parks/mahoney-playground/,"87 Crescent Ave, Staten Island, NY 10301, USA",40.6433274,-74.0858648,
Maker Park,4.4,,https://makerparkradio.nyc/,"Staten Island, NY 10304, USA",40.6260002,-74.0742534,
Tompkinsville Park,3.4,,https://www.nycgovparks.org/parks/tompkinsville-park/,"45 Victory Blvd, Staten Island, NY 10301, USA",40.6374135,-74.0764593,
Lt. Lia Playground,4.2,,https://www.nycgovparks.org/parks/lt-lia-playground/,"Wall St. &, Belmont Pl, Staten Island, NY 10301, USA",40.6435031,-74.0797889,
North Shore Esplanade Park,4.2,,,"300 Richmond Ter, Staten Island, NY 10301, USA",40.6480797,-74.0835263,
Fort Hill Park,4.3,,https://www.nycgovparks.org/parks/fort-hill-park/,"Fort Hill Park, Staten Island, NY 10301, USA",40.6410744,-74.08166179999999,
Jones Woods Park,4.2,,http://www.nycgovparks.org/parks/jones-woods-park,"2243, 90 Robert Ln, Staten Island, NY 10301, USA",40.6370844,-74.09059309999999,
Hero Park,4.5,,https://www.nycgovparks.org/parks/hero-park/,"Victory Boulevard &, Louis St, Staten Island, NY 10301, USA",40.6304036,-74.0882069,
Staten Island,,,,"Navy Pier Ct, Staten Island, NY 10304, USA",40.6288094,-74.0739208,
Liotti Ikefugi Playground,3.8,,https://www.nycgovparks.org/parks/liotti-ikefugi-playground/,"Winter Ave &, Bismark Ave, Staten Island, NY 10301, USA",40.6387553,-74.08393389999999,
St. George Park,5.0,,https://www.nycgovparks.org/parks/st-george-park/,"51 Stuyvesant Pl #1912, Staten Island, NY 10301, USA",40.6445489,-74.0779522,
Barrett Triangle,3.8,,https://www.nycgovparks.org/parks/barrett-triangle/,"Bay St & Hyatt St, Staten Island, NY 10301, USA",40.6418112,-74.07580949999999,
Stapleton Esplanade,4.6,,,"Staten Island, NY 10304, USA",40.6282852,-74.07281259999999,
Baker Square,5.0,,https://www.nycgovparks.org/parks/greenstreet-rz125,"Hyatt St &, Stuyvesant Pl, Staten Island, NY 10301, USA",40.64209770000001,-74.07641439999999,
5ive Spice Tacos & Banh Mi,4.6,"Counter-service option offering pho & tacos with a Vietnamese twist in a comfy, relaxed setting.",https://5ivespicebk.com/,"52 5th Ave, Brooklyn, NY 11217, USA",40.6814473,-73.977239,PRICE_LEVEL_INEXPENSIVE
7-Eleven,3.2,"Pit stop for snacks, drinks & daily essentials",https://www.7-eleven.com/locations/ny/brooklyn/1381-atlantic-ave-39195?utm_source=G&utm_medium=local&utm_campaign=google-local,"1381 Atlantic Ave, Brooklyn, NY 11216, USA",40.6787234,-73.94448349999999,PRICE_LEVEL_INEXPENSIVE
7-Eleven,3.7,"Pit stop for snacks, drinks & daily essentials",https://www.7-eleven.com/locations/ny/flushing/168-01-union-turnpike-23897?utm_source=G&utm_medium=local&utm_campaign=google-local,"168-01 Union Tpke, Flushing, NY 11366, USA",40.7232041,-73.8000677,PRICE_LEVEL_INEXPENSIVE
7-Eleven,2.6,"Pit stop for snacks, drinks & daily essentials",https://www.7-eleven.com/locations/ny/bayside/58-20-francis-lewis-blvd-27105?utm_source=G&utm_medium=local&utm_campaign=google-local,"58-20 Francis Lewis Blvd, Bayside, NY 11365, USA",40.7449577,-73.7769995,PRICE_LEVEL_INEXPENSIVE
A & S Pizza,4.4,"Easygoing eatery serving Italian comfort-food favorites such as pizza, subs, pasta & other entrees.",https://www.aspizzarestaurant.com/?utm_source=gbp,"87 Stuyvesant Pl, Staten Island, NY 10301, USA",40.6439818,-74.0775219,PRICE_LEVEL_INEXPENSIVE
A Taste of Katz's,3.8,Massive Jewish deli sandwiches from the famed Katz’s Delicatessen inside DeKalb Market Hall.,https://www.katzsdelicatessen.com/brooklyn,"1 Dekalb Ave, Brooklyn, NY 11201, USA",40.6913317,-73.98256119999999,PRICE_LEVEL_MODERATE
A&A Bake Doubles and Roti,4.3,"No-frills counter-serve outfit serving Trinidadian snacks such as pholorie, saheena & aloo pie.",,"1337 Fulton St, Brooklyn, NY 11216, USA",40.680491,-73.9479489,PRICE_LEVEL_INEXPENSIVE
Ace's Pizza,4.8,"Down-to-earth restaurant offering deep dish & thin crust pizza, plus garlic bread.",https://www.acespizzaspot.com/,"637 Driggs Ave, Brooklyn, NY 11211, USA",40.7150648,-73.9583744,PRICE_LEVEL_INEXPENSIVE
ACRE,4.7,"Health-conscious, Japanese-influenced fare served in an industrial-chic destination with a terrace.",http://acrenyc.com/,"64 Meserole Ave, Brooklyn, NY 11222, USA",40.7262812,-73.9546988,PRICE_LEVEL_MODERATE
Adel's Famous Halal Food,4.3,"Open until 4 or 5 am each night, this Middle Eastern food truck prepares halal gyros.",http://adelsfamousnyc.com/,"1221 6th Ave, New York, NY 10020, USA",40.7591946,-73.9811521,PRICE_LEVEL_INEXPENSIVE
Agi's Counter,4.6,"High-end Jewish & Eastern European-inspired fare, plus pastries & wine, in a cool, boho-chic venue.",http://www.agiscounter.com/,"818 Franklin Ave, Brooklyn, NY 11225, USA",40.6700133,-73.9583818,PRICE_LEVEL_MODERATE
Ainslie,4.3,"Rustic-chic choice for Italian fare and wine, with an outdoor patio used as a beer garden.",http://www.ainsliebk.com/?utm_source=local&utm_medium=organic&utm_campaign=gbp-ainsliebk,"76 Ainslie St, Brooklyn, NY 11211, USA",40.7124253,-73.95204249999999,PRICE_LEVEL_MODERATE
Ajo y Oregano,4.2,"Colorful, family-owned eatery for traditional style Dominican plates in low-key surrounds.",https://www.ajoyoregano.com/,"1556 White Plains Rd, Bronx, NY 10462, USA",40.8395622,-73.8636238,PRICE_LEVEL_INEXPENSIVE
